Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
450.16	92.338	0.89018	11.234	748.80	749.85	21.102	34.070	43.933	1399.9	-0.021430	153.07	0.67265	0.042857	liquid
450.78	93.689	0.88952	11.242	751.53	752.60	21.162	34.045	43.957	1398.2	-0.021307	152.51	0.67237	0.042718	liquid
451.40	95.055	0.88886	11.250	754.26	755.34	21.223	34.020	43.981	1396.5	-0.021183	151.94	0.67209	0.042580	liquid
452.03	96.437	0.88820	11.259	756.99	758.09	21.283	33.995	44.005	1394.8	-0.021058	151.38	0.67180	0.042441	liquid
452.65	97.835	0.88753	11.267	759.73	760.84	21.344	33.969	44.030	1393.1	-0.020933	150.83	0.67151	0.042302	liquid
453.27	99.249	0.88687	11.276	762.46	763.59	21.404	33.944	44.055	1391.4	-0.020807	150.27	0.67122	0.042163	liquid
453.90	10.068	0.88620	11.284	765.20	766.35	21.465	33.919	44.079	1389.6	-0.020679	149.73	0.67092	0.042024	liquid
454.52	10.212	0.88553	11.293	767.94	769.10	21.525	33.894	44.104	1387.9	-0.020552	149.18	0.67062	0.041885	liquid
455.14	10.359	0.88486	11.301	770.67	771.86	21.585	33.869	44.130	1386.1	-0.020423	148.64	0.67032	0.041745	liquid
455.77	10.507	0.88419	11.310	773.42	774.62	21.645	33.845	44.155	1384.4	-0.020293	148.11	0.67001	0.041606	liquid
456.39	10.656	0.88351	11.318	776.16	777.38	21.706	33.820	44.181	1382.6	-0.020163	147.57	0.66970	0.041466	liquid
457.01	10.807	0.88284	11.327	778.90	780.14	21.766	33.795	44.207	1380.8	-0.020031	147.05	0.66938	0.041327	liquid
457.64	10.960	0.88216	11.336	781.65	782.90	21.826	33.771	44.233	1379.0	-0.019899	146.52	0.66907	0.041187	liquid
458.26	11.115	0.88148	11.345	784.39	785.67	21.886	33.746	44.259	1377.2	-0.019766	146.00	0.66874	0.041047	liquid
458.88	11.271	0.88080	11.353	787.14	788.44	21.946	33.722	44.286	1375.4	-0.019633	145.48	0.66842	0.040907	liquid
459.50	11.429	0.88011	11.362	789.89	791.20	22.006	33.697	44.313	1373.6	-0.019498	144.97	0.66809	0.040767	liquid
460.13	11.589	0.87943	11.371	792.64	793.97	22.065	33.673	44.340	1371.8	-0.019362	144.46	0.66776	0.040627	liquid
460.75	11.750	0.87874	11.380	795.39	796.75	22.125	33.649	44.367	1370.0	-0.019226	143.96	0.66742	0.040486	liquid
461.37	11.913	0.87805	11.389	798.15	799.52	22.185	33.624	44.394	1368.1	-0.019088	143.45	0.66708	0.040346	liquid
462.00	12.078	0.87736	11.398	800.90	802.30	22.245	33.600	44.422	1366.3	-0.018950	142.96	0.66674	0.040205	liquid
462.62	12.245	0.87667	11.407	803.66	805.07	22.304	33.576	44.450	1364.4	-0.018811	142.46	0.66639	0.040065	liquid
463.24	12.414	0.87597	11.416	806.42	807.85	22.364	33.552	44.478	1362.6	-0.018670	141.97	0.66604	0.039924	liquid
463.87	12.584	0.87527	11.425	809.18	810.63	22.423	33.528	44.507	1360.7	-0.018529	141.48	0.66569	0.039783	liquid
464.49	12.756	0.87457	11.434	811.94	813.42	22.483	33.504	44.535	1358.9	-0.018387	140.99	0.66533	0.039642	liquid
465.11	12.930	0.87387	11.443	814.70	816.20	22.542	33.480	44.564	1357.0	-0.018244	140.51	0.66497	0.039501	liquid
465.74	13.106	0.87317	11.453	817.46	818.99	22.602	33.457	44.593	1355.1	-0.018100	140.03	0.66461	0.039360	liquid
466.36	13.284	0.87247	11.462	820.23	821.77	22.661	33.433	44.623	1353.2	-0.017955	139.56	0.66424	0.039219	liquid
466.98	13.464	0.87176	11.471	823.00	824.56	22.721	33.409	44.652	1351.3	-0.017809	139.09	0.66387	0.039078	liquid
467.61	13.645	0.87105	11.480	825.77	827.36	22.780	33.386	44.682	1349.4	-0.017662	138.62	0.66349	0.038936	liquid
468.23	13.829	0.87034	11.490	828.54	830.15	22.839	33.362	44.712	1347.5	-0.017514	138.15	0.66312	0.038795	liquid
468.85	14.014	0.86963	11.499	831.31	832.94	22.898	33.339	44.742	1345.5	-0.017365	137.69	0.66274	0.038653	liquid
469.48	14.202	0.86891	11.509	834.09	835.74	22.957	33.316	44.773	1343.6	-0.017215	137.23	0.66235	0.038512	liquid
470.10	14.391	0.86819	11.518	836.86	838.54	23.017	33.292	44.804	1341.7	-0.017064	136.77	0.66196	0.038370	liquid
470.72	14.582	0.86748	11.528	839.64	841.34	23.076	33.269	44.835	1339.7	-0.016912	136.32	0.66157	0.038228	liquid
471.35	14.775	0.86676	11.537	842.42	844.15	23.135	33.246	44.866	1337.8	-0.016759	135.87	0.66118	0.038086	liquid
471.97	14.971	0.86603	11.547	845.20	846.95	23.194	33.223	44.898	1335.8	-0.016604	135.42	0.66078	0.037944	liquid
472.59	15.168	0.86531	11.557	847.98	849.76	23.253	33.200	44.930	1333.8	-0.016449	134.98	0.66038	0.037802	liquid
473.22	15.367	0.86458	11.566	850.77	852.57	23.312	33.177	44.962	1331.8	-0.016292	134.54	0.65997	0.037659	liquid
473.84	15.568	0.86385	11.576	853.55	855.38	23.370	33.154	44.994	1329.9	-0.016135	134.10	0.65956	0.037517	liquid
474.46	15.772	0.86312	11.586	856.34	858.19	23.429	33.131	45.027	1327.9	-0.015976	133.66	0.65915	0.037375	liquid
475.09	15.977	0.86239	11.596	859.13	861.01	23.488	33.108	45.060	1325.9	-0.015816	133.23	0.65874	0.037232	liquid
475.71	16.185	0.86165	11.606	861.92	863.83	23.547	33.086	45.093	1323.8	-0.015655	132.80	0.65832	0.037090	liquid
476.33	16.394	0.86092	11.616	864.72	866.64	23.606	33.063	45.127	1321.8	-0.015493	132.37	0.65790	0.036947	liquid
476.96	16.606	0.86018	11.626	867.51	869.47	23.664	33.041	45.160	1319.8	-0.015330	131.95	0.65747	0.036804	liquid
477.58	16.820	0.85944	11.636	870.31	872.29	23.723	33.018	45.194	1317.8	-0.015166	131.53	0.65704	0.036661	liquid
478.20	17.035	0.85869	11.646	873.11	875.12	23.781	32.996	45.229	1315.7	-0.015000	131.11	0.65661	0.036518	liquid
478.82	17.253	0.85795	11.656	875.91	877.94	23.840	32.973	45.263	1313.7	-0.014833	130.69	0.65618	0.036375	liquid
479.45	17.474	0.85720	11.666	878.71	880.77	23.899	32.951	45.298	1311.6	-0.014665	130.27	0.65574	0.036232	liquid
480.07	17.696	0.85645	11.676	881.51	883.61	23.957	32.929	45.334	1309.6	-0.014496	129.86	0.65530	0.036089	liquid
480.69	17.921	0.85570	11.686	884.32	886.44	24.015	32.907	45.369	1307.5	-0.014325	129.45	0.65485	0.035946	liquid
481.32	18.148	0.85495	11.697	887.13	889.28	24.074	32.885	45.405	1305.4	-0.014153	129.05	0.65440	0.035802	liquid
481.94	18.377	0.85419	11.707	889.94	892.12	24.132	32.863	45.441	1303.3	-0.013980	128.64	0.65395	0.035659	liquid
482.56	18.608	0.85343	11.717	892.75	894.96	24.191	32.841	45.478	1301.2	-0.013806	128.24	0.65349	0.035515	liquid
483.19	18.841	0.85267	11.728	895.56	897.80	24.249	32.819	45.514	1299.1	-0.013630	127.84	0.65304	0.035372	liquid
483.81	19.077	0.85191	11.738	898.38	900.65	24.307	32.797	45.551	1297.0	-0.013453	127.44	0.65257	0.035228	liquid
484.43	19.315	0.85115	11.749	901.20	903.50	24.365	32.775	45.589	1294.9	-0.013275	127.05	0.65211	0.035084	liquid
485.06	19.556	0.85038	11.759	904.02	906.35	24.424	32.754	45.626	1292.8	-0.013096	126.66	0.65164	0.034941	liquid
485.68	19.798	0.84961	11.770	906.84	909.20	24.482	32.732	45.664	1290.6	-0.012915	126.27	0.65117	0.034797	liquid
486.30	20.043	0.84884	11.781	909.66	912.05	24.540	32.711	45.703	1288.5	-0.012732	125.88	0.65069	0.034653	liquid
486.93	20.291	0.84806	11.792	912.49	914.91	24.598	32.689	45.741	1286.4	-0.012549	125.50	0.65022	0.034509	liquid
487.55	20.540	0.84729	11.802	915.31	917.77	24.656	32.668	45.780	1284.2	-0.012364	125.11	0.64974	0.034365	liquid
488.17	20.792	0.84651	11.813	918.14	920.63	24.714	32.647	45.820	1282.0	-0.012177	124.73	0.64925	0.034220	liquid
488.80	21.047	0.84573	11.824	920.98	923.50	24.772	32.625	45.859	1279.9	-0.011989	124.35	0.64876	0.034076	liquid
489.42	21.304	0.84495	11.835	923.81	926.37	24.830	32.604	45.899	1277.7	-0.011800	123.98	0.64827	0.033932	liquid
490.04	21.563	0.84416	11.846	926.65	929.23	24.888	32.583	45.940	1275.5	-0.011609	123.60	0.64778	0.033787	liquid
490.67	21.825	0.84338	11.857	929.48	932.11	24.946	32.562	45.980	1273.3	-0.011417	123.23	0.64728	0.033643	liquid
491.29	22.089	0.84259	11.868	932.33	934.98	25.004	32.541	46.022	1271.1	-0.011223	122.86	0.64678	0.033499	liquid
491.91	22.356	0.84180	11.879	935.17	937.86	25.062	32.520	46.063	1268.9	-0.011028	122.49	0.64627	0.033354	liquid
492.54	22.625	0.84100	11.891	938.01	940.74	25.120	32.499	46.105	1266.7	-0.010831	122.13	0.64577	0.033209	liquid
493.16	22.896	0.84021	11.902	940.86	943.62	25.178	32.478	46.147	1264.5	-0.010633	121.76	0.64526	0.033065	liquid
493.78	23.171	0.83941	11.913	943.71	946.51	25.235	32.458	46.189	1262.2	-0.010433	121.40	0.64474	0.032920	liquid
494.41	23.447	0.83861	11.925	946.56	949.39	25.293	32.437	46.232	1260.0	-0.010231	121.04	0.64422	0.032775	liquid
495.03	23.727	0.83781	11.936	949.41	952.28	25.351	32.417	46.276	1257.8	-0.010028	120.68	0.64370	0.032630	liquid
495.65	24.008	0.83700	11.947	952.27	955.17	25.409	32.396	46.319	1255.5	-0.0098238	120.33	0.64318	0.032485	liquid
496.28	24.293	0.83619	11.959	955.13	958.07	25.466	32.376	46.363	1253.2	-0.0096175	119.97	0.64265	0.032340	liquid
496.90	24.580	0.83538	11.971	957.99	960.97	25.524	32.355	46.408	1251.0	-0.0094096	119.62	0.64212	0.032195	liquid
497.52	24.869	0.83457	11.982	960.85	963.87	25.582	32.335	46.452	1248.7	-0.0092000	119.27	0.64159	0.032050	liquid
498.14	25.161	0.83375	11.994	963.71	966.77	25.639	32.315	46.498	1246.4	-0.0089887	118.92	0.64105	0.031905	liquid
498.77	25.456	0.83294	12.006	966.58	969.68	25.697	32.295	46.543	1244.1	-0.0087758	118.58	0.64051	0.031759	liquid
499.39	25.754	0.83212	12.018	969.45	972.59	25.754	32.275	46.589	1241.8	-0.0085611	118.23	0.63997	0.031614	liquid
500.01	26.054	0.83129	12.029	972.32	975.50	25.812	32.255	46.636	1239.5	-0.0083447	117.89	0.63943	0.031469	liquid
500.64	26.357	0.83047	12.041	975.20	978.41	25.869	32.235	46.683	1237.2	-0.0081265	117.55	0.63888	0.031323	liquid
501.26	26.662	0.82964	12.053	978.07	981.33	25.927	32.215	46.730	1234.9	-0.0079065	117.21	0.63832	0.031178	liquid
501.88	26.971	0.82881	12.065	980.95	984.25	25.984	32.195	46.777	1232.5	-0.0076847	116.87	0.63777	0.031032	liquid
502.51	27.282	0.82798	12.078	983.83	987.17	26.042	32.175	46.826	1230.2	-0.0074611	116.54	0.63721	0.030887	liquid
503.13	27.595	0.82715	12.090	986.72	990.10	26.099	32.156	46.874	1227.8	-0.0072357	116.20	0.63665	0.030741	liquid
503.75	27.912	0.82631	12.102	989.60	993.03	26.157	32.136	46.923	1225.5	-0.0070084	115.87	0.63608	0.030595	liquid
504.38	28.231	0.82547	12.114	992.49	995.96	26.214	32.117	46.973	1223.1	-0.0067792	115.54	0.63551	0.030450	liquid
505.00	28.553	0.82463	12.127	995.39	998.89	26.271	32.097	47.022	1220.8	-0.0065481	115.21	0.63494	0.030304	liquid
505.62	28.878	0.82378	12.139	998.28	1001.8	26.329	32.078	47.073	1218.4	-0.0063151	114.88	0.63437	0.030158	liquid
506.25	29.206	0.82293	12.152	1001.2	1004.8	26.386	32.059	47.124	1216.0	-0.0060801	114.56	0.63379	0.030012	liquid
506.87	29.537	0.82208	12.164	1004.1	1007.7	26.443	32.040	47.175	1213.6	-0.0058431	114.24	0.63321	0.029866	liquid
507.49	29.870	0.82123	12.177	1007.0	1010.7	26.501	32.020	47.227	1211.2	-0.0056041	113.91	0.63262	0.029720	liquid
508.12	30.207	0.82037	12.190	1009.9	1013.6	26.558	32.001	47.279	1208.8	-0.0053631	113.59	0.63203	0.029574	liquid
508.74	30.546	0.81952	12.202	1012.8	1016.6	26.615	31.982	47.332	1206.4	-0.0051200	113.27	0.63144	0.029428	liquid
509.36	30.888	0.81865	12.215	1015.7	1019.5	26.672	31.964	47.385	1203.9	-0.0048749	112.95	0.63085	0.029282	liquid
509.99	31.233	0.81779	12.228	1018.6	1022.5	26.730	31.945	47.439	1201.5	-0.0046277	112.64	0.63025	0.029136	liquid
510.61	31.581	0.81693	12.241	1021.5	1025.4	26.787	31.926	47.493	1199.1	-0.0043783	112.32	0.62965	0.028990	liquid
511.23	31.933	0.81606	12.254	1024.4	1028.4	26.844	31.907	47.547	1196.6	-0.0041268	112.01	0.62905	0.028844	liquid
511.86	32.287	0.81518	12.267	1027.4	1031.4	26.901	31.889	47.603	1194.2	-0.0038731	111.70	0.62844	0.028698	liquid
512.48	32.644	0.81431	12.280	1030.3	1034.3	26.958	31.870	47.658	1191.7	-0.0036172	111.39	0.62783	0.028551	liquid
513.10	33.004	0.81343	12.294	1033.2	1037.3	27.015	31.852	47.715	1189.2	-0.0033590	111.08	0.62722	0.028405	liquid
513.73	33.367	0.81255	12.307	1036.1	1040.3	27.073	31.833	47.772	1186.7	-0.0030986	110.77	0.62660	0.028259	liquid
514.35	33.733	0.81167	12.320	1039.1	1043.3	27.130	31.815	47.829	1184.3	-0.0028359	110.47	0.62598	0.028112	liquid
514.97	34.103	0.81078	12.334	1042.0	1046.3	27.187	31.797	47.887	1181.8	-0.0025709	110.16	0.62536	0.027966	liquid
515.60	34.475	0.80990	12.347	1044.9	1049.3	27.244	31.779	47.945	1179.3	-0.0023035	109.86	0.62473	0.027820	liquid
516.22	34.850	0.80900	12.361	1047.9	1052.3	27.301	31.761	48.004	1176.7	-0.0020337	109.56	0.62410	0.027673	liquid
516.84	35.229	0.80811	12.375	1050.8	1055.2	27.358	31.743	48.064	1174.2	-0.0017616	109.26	0.62347	0.027527	liquid
517.46	35.611	0.80721	12.388	1053.8	1058.2	27.415	31.725	48.124	1171.7	-0.0014870	108.96	0.62283	0.027380	liquid
518.09	35.996	0.80631	12.402	1056.7	1061.2	27.472	31.707	48.185	1169.2	-0.0012099	108.66	0.62219	0.027234	liquid
518.71	36.384	0.80541	12.416	1059.7	1064.3	27.529	31.689	48.246	1166.6	-0.00093031	108.36	0.62155	0.027087	liquid
519.33	36.775	0.80451	12.430	1062.6	1067.3	27.586	31.672	48.308	1164.1	-0.00064819	108.07	0.62091	0.026941	liquid
519.96	37.170	0.80360	12.444	1065.6	1070.3	27.643	31.654	48.371	1161.5	-0.00036351	107.77	0.62026	0.026794	liquid
520.58	37.568	0.80268	12.458	1068.6	1073.3	27.700	31.636	48.434	1158.9	-7,62E-01	107.48	0.61961	0.026647	liquid
521.20	37.969	0.80177	12.472	1071.5	1076.3	27.757	31.619	48.498	1156.3	0.00021371	107.19	0.61895	0.026501	liquid
521.83	38.373	0.80085	12.487	1074.5	1079.3	27.814	31.602	48.562	1153.8	0.00050631	106.90	0.61829	0.026354	liquid
522.45	38.780	0.79993	12.501	1077.5	1082.4	27.871	31.584	48.627	1151.2	0.00080162	106.61	0.61763	0.026208	liquid
523.07	39.191	0.79901	12.516	1080.4	1085.4	27.928	31.567	48.693	1148.6	0.0010997	106.32	0.61697	0.026061	liquid
523.70	39.606	0.79808	12.530	1083.4	1088.4	27.985	31.550	48.760	1146.0	0.0014005	106.03	0.61630	0.025914	liquid
524.32	40.023	0.79715	12.545	1086.4	1091.5	28.042	31.533	48.827	1143.3	0.0017041	105.75	0.61563	0.025768	liquid
524.94	40.444	0.79622	12.559	1089.4	1094.5	28.099	31.516	48.895	1140.7	0.0020106	105.46	0.61496	0.025621	liquid
525.57	40.868	0.79528	12.574	1092.4	1097.6	28.156	31.499	48.963	1138.1	0.0023200	105.18	0.61428	0.025474	liquid
526.19	41.296	0.79434	12.589	1095.3	1100.6	28.213	31.483	49.032	1135.4	0.0026323	104.90	0.61360	0.025327	liquid
526.81	41.727	0.79340	12.604	1098.3	1103.7	28.270	31.466	49.102	1132.8	0.0029476	104.61	0.61291	0.025181	liquid
527.44	42.162	0.79245	12.619	1101.3	1106.7	28.327	31.449	49.173	1130.1	0.0032659	104.33	0.61223	0.025034	liquid
528.06	42.600	0.79150	12.634	1104.3	1109.8	28.384	31.433	49.244	1127.4	0.0035873	104.05	0.61154	0.024887	liquid
528.68	43.041	0.79055	12.649	1107.3	1112.9	28.441	31.416	49.316	1124.8	0.0039118	103.78	0.61084	0.024741	liquid
529.31	43.486	0.78959	12.665	1110.3	1115.9	28.498	31.400	49.389	1122.1	0.0042394	103.50	0.61015	0.024594	liquid
529.93	43.935	0.78864	12.680	1113.4	1119.0	28.555	31.384	49.463	1119.4	0.0045701	103.22	0.60945	0.024447	liquid
530.55	44.387	0.78767	12.696	1116.4	1122.1	28.612	31.368	49.537	1116.7	0.0049041	102.95	0.60875	0.024300	liquid
531.18	44.842	0.78671	12.711	1119.4	1125.2	28.669	31.352	49.613	1114.0	0.0052414	102.67	0.60804	0.024154	liquid
531.80	45.301	0.78574	12.727	1122.4	1128.3	28.726	31.336	49.689	1111.3	0.0055820	102.40	0.60733	0.024007	liquid
532.42	45.764	0.78477	12.743	1125.4	1131.3	28.783	31.320	49.765	1108.5	0.0059260	102.13	0.60662	0.023860	liquid
533.05	46.230	0.78379	12.759	1128.5	1134.4	28.840	31.304	49.843	1105.8	0.0062733	101.86	0.60590	0.023713	liquid
533.67	46.700	0.78281	12.774	1131.5	1137.5	28.897	31.288	49.922	1103.0	0.0066242	101.59	0.60518	0.023567	liquid
534.29	47.174	0.78183	12.791	1134.5	1140.6	28.954	31.273	50.001	1100.3	0.0069785	101.32	0.60446	0.023420	liquid
534.92	47.651	0.78084	12.807	1137.6	1143.8	29.011	31.257	50.081	1097.5	0.0073364	101.05	0.60373	0.023273	liquid
535.54	48.132	0.77985	12.823	1140.6	1146.9	29.068	31.242	50.162	1094.8	0.0076979	100.78	0.60300	0.023127	liquid
536.16	48.617	0.77886	12.839	1143.7	1150.0	29.125	31.227	50.244	1092.0	0.0080631	100.52	0.60227	0.022980	liquid
536.78	49.105	0.77786	12.856	1146.7	1153.1	29.182	31.211	50.327	1089.2	0.0084320	100.25	0.60154	0.022833	liquid
537.41	49.597	0.77686	12.872	1149.8	1156.2	29.239	31.196	50.411	1086.4	0.0088047	99.986	0.60080	0.022687	liquid
538.03	50.093	0.77585	12.889	1152.8	1159.4	29.296	31.181	50.496	1083.6	0.0091812	99.722	0.60006	0.022540	liquid
538.65	50.593	0.77485	12.906	1155.9	1162.5	29.353	31.166	50.582	1080.8	0.0095616	99.459	0.59931	0.022394	liquid
539.28	51.096	0.77383	12.923	1159.0	1165.6	29.410	31.151	50.668	1077.9	0.0099459	99.196	0.59856	0.022247	liquid
539.90	51.603	0.77282	12.940	1162.0	1168.8	29.467	31.137	50.756	1075.1	0.010334	98.935	0.59781	0.022100	liquid
540.52	52.114	0.77180	12.957	1165.1	1171.9	29.524	31.122	50.845	1072.2	0.010727	98.674	0.59705	0.021954	liquid
541.15	52.629	0.77078	12.974	1168.2	1175.1	29.581	31.108	50.935	1069.4	0.011123	98.415	0.59630	0.021807	liquid
541.77	53.148	0.76975	12.991	1171.3	1178.3	29.639	31.093	51.025	1066.5	0.011524	98.156	0.59553	0.021661	liquid
542.39	53.671	0.76872	13.009	1174.3	1181.4	29.696	31.079	51.117	1063.7	0.011929	97.897	0.59477	0.021514	liquid
543.02	54.197	0.76768	13.026	1177.4	1184.6	29.753	31.065	51.210	1060.8	0.012338	97.640	0.59400	0.021368	liquid
543.64	54.728	0.76664	13.044	1180.5	1187.8	29.810	31.050	51.304	1057.9	0.012752	97.383	0.59323	0.021222	liquid
544.26	55.263	0.76560	13.062	1183.6	1190.9	29.867	31.036	51.399	1055.0	0.013170	97.127	0.59245	0.021075	liquid
544.89	55.801	0.76455	13.080	1186.7	1194.1	29.924	31.023	51.496	1052.1	0.013593	96.872	0.59167	0.020929	liquid
545.51	56.344	0.76350	13.098	1189.8	1197.3	29.982	31.009	51.593	1049.2	0.014020	96.617	0.59089	0.020783	liquid
546.13	56.890	0.76245	13.116	1193.0	1200.5	30.039	30.995	51.692	1046.2	0.014452	96.364	0.59011	0.020636	liquid
546.76	57.441	0.76139	13.134	1196.1	1203.7	30.096	30.982	51.791	1043.3	0.014888	96.110	0.58932	0.020490	liquid
547.38	57.995	0.76033	13.152	1199.2	1206.9	30.153	30.968	51.892	1040.4	0.015330	95.858	0.58852	0.020344	liquid
548.00	58.554	0.75926	13.171	1202.3	1210.1	30.211	30.955	51.995	1037.4	0.015776	95.606	0.58773	0.020198	liquid
548.63	59.117	0.75819	13.189	1205.5	1213.4	30.268	30.942	52.098	1034.4	0.016228	95.355	0.58693	0.020052	liquid
549.25	59.684	0.75711	13.208	1208.6	1216.6	30.325	30.928	52.203	1031.5	0.016684	95.104	0.58613	0.019906	liquid
549.87	60.255	0.75603	13.227	1211.7	1219.8	30.383	30.915	52.309	1028.5	0.017145	94.854	0.58532	0.019760	liquid
550.50	60.830	0.75494	13.246	1214.9	1223.0	30.440	30.903	52.416	1025.5	0.017612	94.605	0.58451	0.019614	liquid
551.12	61.409	0.75386	13.265	1218.0	1226.3	30.497	30.890	52.525	1022.5	0.018084	94.356	0.58370	0.019468	liquid
551.74	61.993	0.75276	13.284	1221.2	1229.5	30.555	30.877	52.635	1019.5	0.018562	94.108	0.58288	0.019322	liquid
552.37	62.581	0.75166	13.304	1224.3	1232.8	30.612	30.865	52.747	1016.4	0.019044	93.861	0.58206	0.019176	liquid
552.99	63.173	0.75056	13.323	1227.5	1236.0	30.670	30.852	52.860	1013.4	0.019533	93.614	0.58124	0.019031	liquid
553.61	63.769	0.74945	13.343	1230.7	1239.3	30.727	30.840	52.974	1010.3	0.020027	93.367	0.58041	0.018885	liquid
554.24	64.370	0.74834	13.363	1233.9	1242.6	30.785	30.828	53.090	1007.3	0.020527	93.121	0.57958	0.018739	liquid
554.86	64.975	0.74723	13.383	1237.0	1245.8	30.842	30.816	53.208	1004.2	0.021033	92.876	0.57875	0.018594	liquid
555.48	65.584	0.74610	13.403	1240.2	1249.1	30.900	30.804	53.327	1001.1	0.021544	92.631	0.57791	0.018448	liquid
556.10	66.198	0.74498	13.423	1243.4	1252.4	30.958	30.792	53.447	998.06	0.022062	92.387	0.57707	0.018303	liquid
556.73	66.816	0.74385	13.444	1246.6	1255.7	31.015	30.781	53.570	994.97	0.022586	92.143	0.57623	0.018158	liquid
557.35	67.438	0.74271	13.464	1249.8	1259.0	31.073	30.769	53.693	991.86	0.023116	91.900	0.57538	0.018012	liquid
557.97	68.065	0.74157	13.485	1253.0	1262.3	31.131	30.758	53.819	988.74	0.023653	91.657	0.57453	0.017867	liquid
558.60	68.696	0.74043	13.506	1256.2	1265.6	31.189	30.747	53.946	985.61	0.024196	91.414	0.57367	0.017722	liquid
559.22	69.332	0.73928	13.527	1259.4	1269.0	31.246	30.736	54.075	982.48	0.024745	91.172	0.57281	0.017577	liquid
559.84	69.973	0.73812	13.548	1262.7	1272.3	31.304	30.725	54.206	979.33	0.025302	90.931	0.57195	0.017432	liquid
560.47	70.617	0.73696	13.569	1265.9	1275.6	31.362	30.714	54.339	976.17	0.025865	90.690	0.57109	0.017287	liquid
561.09	71.267	0.73579	13.591	1269.1	1278.9	31.420	30.703	54.473	973.00	0.026435	90.449	0.57022	0.017142	liquid
561.71	71.921	0.73462	13.612	1272.4	1282.3	31.478	30.693	54.609	969.81	0.027012	90.209	0.56934	0.016998	liquid
562.34	72.579	0.73345	13.634	1275.6	1285.6	31.536	30.683	54.748	966.62	0.027597	89.969	0.56847	0.016853	liquid
562.96	73.242	0.73227	13.656	1278.9	1289.0	31.594	30.672	54.888	963.42	0.028188	89.729	0.56759	0.016708	liquid
563.58	73.910	0.73108	13.678	1282.1	1292.4	31.652	30.662	55.030	960.20	0.028788	89.490	0.56670	0.016564	liquid
564.21	74.582	0.72989	13.701	1285.4	1295.7	31.711	30.653	55.175	956.98	0.029395	89.251	0.56581	0.016420	liquid
564.83	75.259	0.72869	13.723	1288.7	1299.1	31.769	30.643	55.321	953.74	0.030009	89.013	0.56492	0.016275	liquid
565.45	75.941	0.72748	13.746	1291.9	1302.5	31.827	30.633	55.470	950.49	0.030632	88.775	0.56403	0.016131	liquid
566.08	76.627	0.72628	13.769	1295.2	1305.9	31.885	30.624	55.620	947.23	0.031263	88.537	0.56313	0.015987	liquid
566.70	77.318	0.72506	13.792	1298.5	1309.3	31.944	30.615	55.774	943.96	0.031901	88.299	0.56222	0.015843	liquid
567.32	78.014	0.72384	13.815	1301.8	1312.7	32.002	30.606	55.929	940.67	0.032549	88.062	0.56132	0.015699	liquid
567.95	78.715	0.72261	13.839	1305.1	1316.1	32.061	30.597	56.087	937.38	0.033204	87.825	0.56041	0.015555	liquid
568.57	79.420	0.72138	13.862	1308.4	1319.6	32.119	30.588	56.247	934.07	0.033869	87.588	0.55949	0.015412	liquid
569.19	80.131	0.72014	13.886	1311.7	1323.0	32.178	30.580	56.410	930.75	0.034542	87.352	0.55857	0.015268	liquid
569.82	80.846	0.71890	13.910	1315.1	1326.5	32.237	30.571	56.575	927.42	0.035224	87.116	0.55765	0.015125	liquid
570.44	81.566	0.71765	13.934	1318.4	1329.9	32.295	30.563	56.743	924.08	0.035916	86.880	0.55672	0.014982	liquid
571.06	82.291	0.71639	13.959	1321.7	1333.4	32.354	30.555	56.913	920.73	0.036617	86.644	0.55579	0.014838	liquid
571.69	83.021	0.71513	13.984	1325.1	1336.8	32.413	30.547	57.086	917.36	0.037327	86.408	0.55486	0.014695	liquid
572.31	83.756	0.71386	14.008	1328.4	1340.3	32.472	30.540	57.262	913.98	0.038047	86.173	0.55392	0.014552	liquid
572.93	84.496	0.71258	14.033	1331.8	1343.8	32.531	30.533	57.441	910.59	0.038777	85.938	0.55298	0.014410	liquid
573.56	85.241	0.71130	14.059	1335.1	1347.3	32.590	30.525	57.622	907.19	0.039518	85.703	0.55203	0.014267	liquid
574.18	85.991	0.71001	14.084	1338.5	1350.8	32.649	30.518	57.807	903.77	0.040268	85.468	0.55108	0.014124	liquid
574.80	86.746	0.70872	14.110	1341.9	1354.3	32.708	30.512	57.995	900.34	0.041030	85.233	0.55012	0.013982	liquid
575.42	87.506	0.70741	14.136	1345.3	1357.8	32.768	30.505	58.186	896.90	0.041802	84.998	0.54917	0.013840	liquid
576.05	88.271	0.70611	14.162	1348.7	1361.3	32.827	30.499	58.380	893.44	0.042585	84.764	0.54820	0.013697	liquid
576.67	89.042	0.70479	14.189	1352.1	1364.9	32.887	30.493	58.577	889.98	0.043379	84.529	0.54724	0.013556	liquid
577.29	89.817	0.70347	14.215	1355.5	1368.4	32.946	30.487	58.778	886.50	0.044185	84.295	0.54626	0.013414	liquid
577.92	90.598	0.70214	14.242	1358.9	1372.0	33.006	30.481	58.982	883.00	0.045002	84.060	0.54529	0.013272	liquid
