Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
354.80	0.50015	0.97073	10.302	341.90	341.95	10.952	38.643	41.981	1553.9	-0.034422	346.86	0.66802	0.062369	liquid
355.43	0.51277	0.97034	10.306	344.52	344.57	11.025	38.610	41.986	1553.7	-0.034359	344.21	0.66841	0.062255	liquid
356.05	0.52565	0.96994	10.310	347.13	347.19	11.099	38.577	41.991	1553.5	-0.034295	341.61	0.66879	0.062140	liquid
356.67	0.53881	0.96954	10.314	349.75	349.81	11.172	38.544	41.996	1553.3	-0.034231	339.03	0.66917	0.062024	liquid
357.30	0.55224	0.96914	10.318	352.37	352.42	11.246	38.512	42.001	1553.1	-0.034168	336.49	0.66954	0.061909	liquid
357.92	0.56595	0.96874	10.323	354.98	355.04	11.319	38.479	42.006	1552.9	-0.034104	333.99	0.66991	0.061793	liquid
358.54	0.57994	0.96834	10.327	357.60	357.66	11.392	38.446	42.012	1552.6	-0.034040	331.51	0.67027	0.061678	liquid
359.17	0.59422	0.96793	10.331	360.22	360.28	11.465	38.413	42.017	1552.4	-0.033976	329.07	0.67063	0.061562	liquid
359.79	0.60879	0.96752	10.336	362.84	362.90	11.538	38.381	42.022	1552.1	-0.033912	326.66	0.67098	0.061446	liquid
360.41	0.62366	0.96712	10.340	365.46	365.52	11.610	38.348	42.028	1551.8	-0.033847	324.28	0.67132	0.061329	liquid
361.03	0.63883	0.96670	10.344	368.08	368.14	11.683	38.315	42.033	1551.5	-0.033783	321.93	0.67166	0.061213	liquid
361.66	0.65431	0.96629	10.349	370.70	370.76	11.756	38.282	42.039	1551.2	-0.033718	319.60	0.67199	0.061096	liquid
362.28	0.67010	0.96588	10.353	373.32	373.39	11.828	38.250	42.045	1550.9	-0.033653	317.31	0.67232	0.060979	liquid
362.90	0.68621	0.96546	10.358	375.94	376.01	11.900	38.217	42.050	1550.5	-0.033589	315.05	0.67265	0.060862	liquid
363.53	0.70264	0.96504	10.362	378.56	378.63	11.972	38.184	42.056	1550.2	-0.033524	312.82	0.67296	0.060745	liquid
364.15	0.71940	0.96462	10.367	381.18	381.25	12.044	38.151	42.062	1549.8	-0.033458	310.61	0.67328	0.060628	liquid
364.77	0.73648	0.96420	10.371	383.80	383.87	12.116	38.119	42.068	1549.4	-0.033393	308.43	0.67358	0.060510	liquid
365.40	0.75391	0.96377	10.376	386.42	386.50	12.188	38.086	42.074	1549.0	-0.033328	306.28	0.67389	0.060392	liquid
366.02	0.77167	0.96335	10.380	389.04	389.12	12.260	38.054	42.080	1548.6	-0.033262	304.15	0.67418	0.060274	liquid
366.64	0.78979	0.96292	10.385	391.66	391.75	12.331	38.021	42.087	1548.2	-0.033196	302.05	0.67447	0.060156	liquid
367.27	0.80825	0.96249	10.390	394.29	394.37	12.403	37.988	42.093	1547.8	-0.033130	299.98	0.67476	0.060038	liquid
367.89	0.82708	0.96206	10.394	396.91	397.00	12.474	37.956	42.099	1547.4	-0.033064	297.93	0.67504	0.059919	liquid
368.51	0.84626	0.96163	10.399	399.53	399.62	12.545	37.923	42.106	1546.9	-0.032998	295.90	0.67532	0.059800	liquid
369.14	0.86581	0.96119	10.404	402.16	402.25	12.617	37.891	42.112	1546.4	-0.032932	293.90	0.67559	0.059682	liquid
