Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
498.14	25.161	0.012753	78.411	2602.2	2802.1	62.483	22.566	34.257	504.63	36.037	16.529	0.043757	vapor
498.77	25.456	0.012902	77.510	2602.3	2802.3	62.439	22.616	34.382	504.61	35.847	16.551	0.043904	vapor
499.39	25.754	0.013051	76.621	2602.4	2802.4	62.395	22.665	34.507	504.58	35.658	16.572	0.044052	vapor
500.01	26.054	0.013202	75.744	2602.5	2802.5	62.350	22.715	34.634	504.55	35.470	16.594	0.044201	vapor
500.64	26.357	0.013355	74.878	2602.6	2802.6	62.306	22.765	34.761	504.51	35.284	16.616	0.044350	vapor
501.26	26.662	0.013509	74.024	2602.7	2802.7	62.262	22.815	34.890	504.47	35.098	16.638	0.044500	vapor
501.88	26.971	0.013665	73.181	2602.8	2802.8	62.218	22.866	35.019	504.44	34.914	16.660	0.044651	vapor
502.51	27.282	0.013822	72.349	2602.8	2802.8	62.174	22.916	35.149	504.39	34.731	16.682	0.044803	vapor
503.13	27.595	0.013980	71.529	2602.9	2802.9	62.129	22.966	35.281	504.35	34.549	16.704	0.044955	vapor
503.75	27.912	0.014141	70.719	2603.0	2803.0	62.085	23.017	35.413	504.31	34.369	16.726	0.045109	vapor
504.38	28.231	0.014302	69.920	2603.0	2803.0	62.041	23.068	35.546	504.26	34.189	16.748	0.045263	vapor
505.00	28.553	0.014465	69.131	2603.0	2803.1	61.997	23.118	35.681	504.21	34.011	16.770	0.045418	vapor
505.62	28.878	0.014630	68.352	2603.1	2803.1	61.953	23.169	35.816	504.15	33.834	16.792	0.045573	vapor
506.25	29.206	0.014796	67.584	2603.1	2803.1	61.909	23.220	35.952	504.10	33.658	16.815	0.045730	vapor
506.87	29.537	0.014964	66.825	2603.2	2803.1	61.865	23.272	36.090	504.04	33.483	16.837	0.045888	vapor
507.49	29.870	0.015134	66.076	2603.2	2803.2	61.821	23.323	36.228	503.98	33.309	16.859	0.046046	vapor
508.12	30.207	0.015305	65.337	2603.2	2803.2	61.777	23.374	36.368	503.92	33.137	16.881	0.046205	vapor
508.74	30.546	0.015478	64.608	2603.2	2803.2	61.733	23.426	36.508	503.85	32.965	16.904	0.046365	vapor
509.36	30.888	0.015652	63.888	2603.2	2803.2	61.690	23.477	36.650	503.78	32.795	16.926	0.046526	vapor
509.99	31.233	0.015829	63.177	2603.2	2803.2	61.646	23.529	36.793	503.71	32.626	16.948	0.046688	vapor
510.61	31.581	0.016006	62.475	2603.2	2803.1	61.602	23.581	36.937	503.64	32.457	16.971	0.046851	vapor
511.23	31.933	0.016186	61.782	2603.2	2803.1	61.558	23.633	37.082	503.57	32.290	16.993	0.047015	vapor
511.86	32.287	0.016367	61.098	2603.2	2803.1	61.514	23.685	37.229	503.49	32.124	17.015	0.047180	vapor
