Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
600.98	123.39	0.074116	13.492	2505.6	2674.3	54.636	33.419	93.502	456.24	15.703	21.354	0.094880	vapor
601.60	124.39	0.074943	13.344	2503.8	2671.9	54.575	33.515	94.619	455.53	15.618	21.404	0.095678	vapor
602.22	125.39	0.075781	13.196	2501.9	2669.6	54.514	33.611	95.765	454.81	15.532	21.455	0.096493	vapor
602.85	126.40	0.076632	13.049	2500.1	2667.2	54.452	33.708	96.942	454.09	15.447	21.506	0.097327	vapor
603.47	127.42	0.077495	12.904	2498.2	2664.8	54.389	33.805	98.152	453.36	15.361	21.558	0.098180	vapor
604.09	128.45	0.078371	12.760	2496.3	2662.3	54.327	33.904	99.394	452.62	15.276	21.611	0.099053	vapor
604.72	129.48	0.079260	12.617	2494.3	2659.8	54.263	34.003	10.067	451.87	15.191	21.665	0.099947	vapor
605.34	130.52	0.080163	12.475	2492.3	2657.3	54.200	34.103	10.199	451.11	15.105	21.719	0.10086	vapor
605.96	131.56	0.081079	12.334	2490.3	2654.7	54.135	34.203	10.334	450.34	15.020	21.775	0.10180	vapor
606.59	132.61	0.082009	12.194	2488.2	2652.1	54.071	34.305	10.473	449.56	14.935	21.831	0.10276	vapor
607.21	133.67	0.082953	12.055	2486.2	2649.4	54.006	34.407	10.617	448.77	14.850	21.888	0.10374	vapor
607.83	134.74	0.083913	11.917	2484.0	2646.7	53.940	34.510	10.764	447.97	14.765	21.945	0.10475	vapor
608.46	135.81	0.084887	11.780	2481.9	2644.0	53.874	34.614	10.917	447.16	14.679	22.004	0.10578	vapor
609.08	136.89	0.085877	11.645	2479.7	2641.2	53.807	34.719	11.074	446.34	14.594	22.063	0.10685	vapor
609.70	137.97	0.086883	11.510	2477.5	2638.4	53.739	34.825	11.236	445.51	14.509	22.124	0.10794	vapor
610.33	139.06	0.087906	11.376	2475.2	2635.5	53.671	34.932	11.403	444.67	14.424	22.185	0.10905	vapor
610.95	140.16	0.088945	11.243	2472.9	2632.6	53.603	35.040	11.576	443.82	14.339	22.248	0.11020	vapor
611.57	141.27	0.090002	11.111	2470.6	2629.6	53.534	35.149	11.755	442.96	14.253	22.311	0.11138	vapor
612.20	142.38	0.091076	10.980	2468.2	2626.6	53.464	35.259	11.940	442.08	14.168	22.376	0.11259	vapor
612.82	143.50	0.092170	10.850	2465.7	2623.5	53.394	35.370	12.131	441.19	14.082	22.442	0.11384	vapor
613.44	144.63	0.093282	10.720	2463.3	2620.4	53.323	35.483	12.329	440.29	13.997	22.508	0.11513	vapor
614.06	145.76	0.094414	10.592	2460.8	2617.2	53.251	35.596	12.535	439.38	13.911	22.577	0.11645	vapor
614.69	146.90	0.095566	10.464	2458.2	2614.0	53.178	35.711	12.748	438.46	13.825	22.646	0.11781	vapor
615.31	148.05	0.096739	10.337	2455.6	2610.7	53.105	35.827	12.969	437.52	13.739	22.716	0.11921	vapor
615.93	149.21	0.097933	10.211	2452.9	2607.3	53.031	35.944	13.198	436.56	13.653	22.788	0.12065	vapor
616.56	150.37	0.099150	10.086	2450.2	2603.9	52.956	36.063	13.437	435.60	13.566	22.862	0.12214	vapor
617.18	151.54	0.10039	99.612	2447.5	2600.4	52.881	36.183	13.685	434.62	13.480	22.937	0.12367	vapor
617.80	152.72	0.10165	98.374	2444.7	2596.9	52.804	36.304	13.943	433.62	13.393	23.013	0.12526	vapor
618.43	153.90	0.10294	97.143	2441.8	2593.3	52.727	36.427	14.212	432.61	13.306	23.091	0.12689	vapor
619.05	155.10	0.10425	95.919	2438.9	2589.6	52.649	36.552	14.493	431.58	13.218	23.170	0.12858	vapor
619.67	156.30	0.10560	94.701	2435.9	2585.9	52.570	36.678	14.786	430.54	13.131	23.251	0.13033	vapor
620.30	157.50	0.10696	93.490	2432.9	2582.1	52.490	36.806	15.093	429.48	13.043	23.334	0.13214	vapor
620.92	158.72	0.10836	92.286	2429.8	2578.2	52.409	36.936	15.413	428.40	12.955	23.419	0.13401	vapor
621.54	159.94	0.10979	91.087	2426.6	2574.2	52.327	37.068	15.749	427.31	12.866	23.506	0.13594	vapor
622.17	161.17	0.11124	89.894	2423.4	2570.2	52.243	37.202	16.101	426.19	12.777	23.595	0.13795	vapor
622.79	162.41	0.11273	88.707	2420.1	2566.1	52.159	37.338	16.470	425.06	12.688	23.686	0.14003	vapor
623.41	163.66	0.11425	87.525	2416.7	2561.8	52.074	37.476	16.858	423.90	12.598	23.779	0.14219	vapor
624.04	164.92	0.11581	86.348	2413.3	2557.5	51.987	37.617	17.267	422.73	12.508	23.874	0.14444	vapor
624.66	166.18	0.11740	85.176	2409.7	2553.2	51.899	37.760	17.699	421.53	12.417	23.972	0.14677	vapor
625.28	167.45	0.11904	84.008	2406.1	2548.7	51.810	37.905	18.154	420.31	12.326	24.073	0.14920	vapor
625.91	168.73	0.12071	82.844	2402.4	2544.1	51.719	38.054	18.635	419.07	12.234	24.176	0.15172	vapor
626.53	170.02	0.12242	81.684	2398.7	2539.4	51.627	38.205	19.145	417.80	12.141	24.282	0.15436	vapor
627.15	171.31	0.12418	80.528	2394.8	2534.6	51.534	38.360	19.687	416.50	12.048	24.391	0.15711	vapor
627.78	172.62	0.12598	79.375	2390.8	2529.7	51.438	38.518	20.263	415.18	11.954	24.503	0.15998	vapor
628.40	173.93	0.12784	78.224	2386.8	2524.6	51.341	38.680	20.877	413.83	11.859	24.619	0.16298	vapor
629.02	175.25	0.12974	77.076	2382.6	2519.5	51.243	38.845	21.533	412.44	11.764	24.738	0.16612	vapor
629.65	176.58	0.13170	75.930	2378.3	2514.2	51.142	39.015	22.236	411.03	11.668	24.861	0.16941	vapor
630.27	177.92	0.13372	74.785	2373.9	2508.7	51.040	39.190	22.990	409.58	11.570	24.988	0.17287	vapor
630.89	179.27	0.13579	73.641	2369.4	2503.1	50.935	39.369	23.802	408.10	11.472	25.120	0.17651	vapor
631.52	180.62	0.13794	72.497	2364.7	2497.4	50.828	39.554	24.680	406.57	11.372	25.256	0.18034	vapor
632.14	181.99	0.14015	71.353	2359.9	2491.5	50.719	39.744	25.631	405.01	11.272	25.397	0.18438	vapor
632.76	183.36	0.14243	70.208	2354.9	2485.4	50.607	39.941	26.665	403.39	11.170	25.543	0.18865	vapor
633.39	184.74	0.14480	69.061	2349.8	2479.1	50.492	40.145	27.794	401.74	11.066	25.696	0.19318	vapor
634.01	186.13	0.14725	67.911	2344.5	2472.6	50.375	40.357	29.032	400.03	10.961	25.854	0.19799	vapor
634.63	187.53	0.14980	66.758	2339.1	2465.9	50.254	40.578	30.397	398.26	10.854	26.020	0.20311	vapor
635.25	188.94	0.15244	65.600	2333.4	2459.0	50.130	40.808	31.908	396.43	10.745	26.192	0.20857	vapor
635.88	190.36	0.15519	64.436	2327.5	2451.8	50.002	41.050	33.592	394.54	10.634	26.374	0.21443	vapor
636.50	191.79	0.15807	63.264	2321.4	2444.3	49.870	41.303	35.480	392.57	10.521	26.564	0.22073	vapor
637.12	193.23	0.16107	62.083	2315.0	2436.5	49.733	41.571	37.613	390.52	10.404	26.764	0.22754	vapor
637.75	194.68	0.16423	60.892	2308.3	2428.4	49.591	41.855	40.042	388.37	10.285	26.975	0.23493	vapor
638.37	196.14	0.16754	59.687	2301.3	2419.9	49.444	42.157	42.834	386.13	10.163	27.200	0.24298	vapor
638.99	197.61	0.17104	58.465	2293.9	2411.0	49.291	42.481	46.077	383.76	10.036	27.439	0.25183	vapor
639.62	199.09	0.17475	57.224	2286.1	2401.6	49.130	42.831	49.892	381.26	0.99052	27.694	0.26162	vapor
640.24	200.58	0.17870	55.960	2277.9	2391.6	48.961	43.212	54.443	378.59	0.97690	27.969	0.27255	vapor
640.86	202.08	0.18293	54.666	2269.1	2381.0	48.782	43.631	59.966	375.74	0.96266	28.267	0.28486	vapor
641.49	203.59	0.18749	53.337	2259.6	2369.7	48.593	44.095	66.806	372.65	0.94769	28.594	0.29892	vapor
642.11	205.12	0.19244	51.964	2249.4	2357.4	48.390	44.617	75.487	369.29	0.93185	28.954	0.31521	vapor
642.73	206.65	0.19788	50.537	2238.3	2344.1	48.170	45.213	86.846	365.57	0.91495	29.358	0.33445	vapor
643.36	208.20	0.20392	49.039	2226.0	2329.5	47.930	45.907	102.30	361.38	0.89674	29.819	0.35771	vapor
643.98	209.76	0.21075	47.449	2212.3	2313.1	47.664	46.734	124.43	356.58	0.87687	30.357	0.38677	vapor
644.60	211.33	0.21866	45.734	2196.6	2294.5	47.363	47.752	158.46	350.89	0.85487	31.006	0.42469	vapor
645.23	212.92	0.22810	43.840	2178.0	2272.6	47.013	49.063	216.60	343.84	0.83000	31.827	0.47755	vapor
645.85	214.51	0.24001	41.664	2155.1	2245.7	46.585	50.887	335.64	334.45	0.80100	32.950	0.56016	vapor
646.47	216.13	0.25685	38.933	2123.8	2209.0	46.008	53.913	701.70	319.80	0.76491	34.765	0.72825	vapor
